MachineNo,MachineCode,ProductionID,ItemCode,ItemName,TotalQuantity,ScrapQuantity,SyncTime,UserName,MHECode,QualityStatus,LiveQty,source_schema
Duplex_winder 1,Duplex_winder 1,Duplex_30122025125859_4,SW1856515UXRYSD-VMAX,SW1856515UXRYSD-VMAX,110.0,0.0,2025-12-30 12:58:59.633,16942,CSTA205,Consumed,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025161403_11,20565R16TAXI-VMAXX,20565R16TAXI-VMAXX,110.0,0.0,2025-12-30 16:14:03.697,202770,CSTA799,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025173155_3,16580R14UXTOUR-VMAXX,16580R14UXTOUR-VMAXX,110.0,0.0,2025-12-30 17:31:55.173,202770,CSTA829,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_30122025182930_3,18565R15TAXI-VMAXX,18565R15TAXI-VMAXX,110.0,0.0,2025-12-30 18:29:30.110,202770,CSTA596,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_31122025011701_3,17560R15UXTOUR-VMAXX,17560R15UXTOUR-VMAXX,111.0,0.0,2025-12-31 01:17:01.923,16896,CSTA968,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_31122025013907_2,1956016RANGHPE-VMAXX,1956016RANGHPE-VMAXX,111.0,0.0,2025-12-31 01:39:07.877,16896,CSTA188,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_31122025014423_3,1956016RANGHPE-VMAXX,1956016RANGHPE-VMAXX,111.0,0.0,2025-12-31 01:44:23.750,16896,csta254,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_31122025014749_4,1956016RANGHPE-VMAXX,1956016RANGHPE-VMAXX,111.0,0.0,2025-12-31 01:47:49.160,16896,CSTA203,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_31122025024509_12,16570R14TAXI-VMAXX,16570R14TAXI-VMAXX,111.0,0.0,2025-12-31 02:45:09.520,16896,CSTA967,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_31122025024914_13,16570R14TAXI-VMAXX,16570R14TAXI-VMAXX,111.0,0.0,2025-12-31 02:49:14.113,16896,CSTA219,Consumed1,0,Duplex
Duplex_winder 1,Duplex_winder 1,Duplex_31122025054425_3,18565R15TAXI-VMAXX,18565R15TAXI-VMAXX,110.0,0.0,2025-12-31 05:44:25.463,16896,CSTA213,Consumed1,0,Duplex
Quintuplex,Quintuplex,Quintuplex_30122025120702_10,2056516TAXI-VMAXX,2056516TAXI-VMAXX,75.0,0.0,2025-12-30 12:07:02.273,79095,csta974,Consumed1,0,QuintuPlex
